# days,inflow_mean,inflow_low,inflow_high,release_mean,release_low,release_high,height_mean,height_low,height_high,demand
7.900000000000000000e+01,9.684153846153847667e+01,4.087247587457081721e+01,1.528106010485061290e+02,9.347030769230767078e+01,5.715839496302319844e+01,1.297822204215921431e+02,4.615384615384687914e-04,-2.806717765838370182e-01,2.815948535069139336e-01,6.721600000000000819e+01
8.000000000000000000e+01,9.311692307692312909e+01,4.776421110905690171e+01,1.384696350447893565e+02,9.418061538461537907e+01,5.745202325775458263e+01,1.309092075114761826e+02,3.846153846153839103e-04,-2.812566016769663113e-01,2.820258324461970556e-01,6.682399999999999807e+01
8.100000000000000000e+01,1.000907692307692116e+02,3.377560395492803025e+01,1.664059345066103788e+02,9.421123076923076667e+01,5.653483046315496097e+01,1.318876310753065582e+02,4.076923076923076074e-03,-2.788648925069830975e-01,2.870187386608292757e-01,6.720199999999999818e+01
8.200000000000000000e+01,1.028430769230769073e+02,4.404221358762847416e+01,1.616439402585253333e+02,9.451123076923079225e+01,5.546739164101720121e+01,1.335550698974443833e+02,9.384615384615387079e-03,-2.714061740932827704e-01,2.901754048625135307e-01,6.758100000000000307e+01
8.300000000000000000e+01,1.017123076923076894e+02,4.624693801774322566e+01,1.571776773668721603e+02,9.415184615384617928e+01,5.510654564307624526e+01,1.331971466646161275e+02,1.384615384615383790e-02,-2.668874582254069372e-01,2.945797659177146199e-01,6.795999999999999375e+01
8.400000000000000000e+01,1.012353846153846320e+02,4.713237053535043231e+01,1.553383986954188458e+02,9.245523076923076644e+01,5.374051513699077987e+01,1.311699464014707530e+02,1.823076923076924136e-02,-2.621569167289922730e-01,2.986184551905307072e-01,6.833800000000000807e+01
8.500000000000000000e+01,1.002892307692307412e+02,5.415795279971648313e+01,1.464205087387450135e+02,9.247969230769227522e+01,5.384393649008683269e+01,1.311154481252977178e+02,2.307692307692307473e-02,-2.556436321912416432e-01,3.017974783450877441e-01,6.871699999999999875e+01
8.600000000000000000e+01,9.877846153846155630e+01,5.352809310032635182e+01,1.440288299765967679e+02,9.241476923076922390e+01,5.265147045460969366e+01,1.321780680069287541e+02,2.699999999999999276e-02,-2.507032173437624412e-01,3.047032173437623781e-01,6.909600000000000364e+01
8.700000000000000000e+01,1.094353846153846206e+02,3.878456518354410321e+01,1.800862040472251238e+02,9.533615384615383448e+01,4.882563266447154859e+01,1.418466750278361133e+02,3.730769230769229172e-02,-2.474770805715917066e-01,3.220924651869763178e-01,6.984600000000000364e+01
8.800000000000000000e+01,1.140369230769230882e+02,4.276738795365747592e+01,1.853064582001887004e+02,9.641492307692305985e+01,4.919564927013694700e+01,1.436341968837091656e+02,4.861538461538461586e-02,-2.380638889939221126e-01,3.352946582246913443e-01,7.059699999999999420e+01
